r,aback,0.125
n,abandon,-0.375
a,abandoned,0.5
n,abandonment,-0.5
v,abase,-0.625
n,abasement,0.625
v,abash,-0.25
a,abashed,-0.375
n,abashment,-0.5
n,abasia,-0.625
a,abasic,-0.375
a,abatable,0.625
v,abate,-0.25
n,abatement,-0.125
a,abatic,-0.375
r,abaxially,0.25
n,abbe,0.125
n,abbot,0.5
n,abdias,-0.25
a,abdicable,0.5
v,abduct,-0.125
n,abduction,-1
n,aberrance,0.125
n,aberrancy,0.125
a,aberrant,0.5
v,aberrate,-0.25
n,aberration,0.375
n,abetalipoproteinemia,-0.75
a,abeyant,-0.375
v,abhor,-0.25
n,abhorrence,-0.375
a,abhorrent,-0.75
n,abidance,0.625
v,abide,-0.5
a,abiding,0.375
a,abient,0.5
n,ability,0.5
n,abiotrophy,-0.375
a,abject,-1
n,abjection,-0.125
r,abjectly,0.375
n,abjuration,-0.625
v,abjure,-0.625
v,ablate,-0.125
a,ablated,-0.125
a,ablative,0.625
n,ablaut,0.5
a,ablaze,0.375
a,able,0.25
a,able-bodied,0.25
n,able-bodiedism,0.25
n,able-bodism,0.25
n,ableism,0.25
n,ablepharia,0.5
n,ablism,0.25
a,abloom,0.125
r,ably,0.375
v,abnegate,0.25
n,abnegation,0.125
a,abnormal,-0.75
n,abnormalcy,0.25
n,abnormality,-0.625
r,abnormally,0.125
n,abocclusion,0.125
a,abolishable,0.625
a,abominable,-0.875
r,abominably,-0.75
v,abominate,-0.25
n,abomination,-0.375
n,abominator,-0.375
v,abort,-0.75
a,abortifacient,-0.375
a,abortive,-0.25
r,abortively,0.25
a,aboulic,-0.75
v,abound,-0.125
a,abounding,-0.25
r,about,0.5
a,above,-0.125
a,above-mentioned,-0.125
a,above-named,-0.125
a,aboveboard,-0.625
v,abrade,-0.125
n,abrasion,-0.125
a,abrasive,-0.667
n,abrasiveness,-0.556
v,abreact,-0.875
n,abreaction,0.375
a,abreast,0.25
a,abrupt,0.5
a,abruptly-pinnate,0.25
n,abruptness,0.625
a,abscessed,-0.5
n,absconder,0.375
n,absence,0.125
a,absent,-0.625
n,absentee,-0.625
n,absenteeism,0.125
r,absently,0.5
a,absentminded,0.375
r,absentmindedly,0.5
n,absentmindedness,0.375
a,absolute,-0.75
r,absolutely,0.5
n,absoluteness,0.5
n,absolutism,-0.5
v,absolve,0.25
a,absolved,0.625
n,absolver,0.25
a,absolvitory,0.25
v,absorb,0.375
a,absorbable,0.5
n,absorbate,0.5
a,absorbed,0.25
a,absorbefacient,0.375
a,absorbing,0.5
n,absorption,-0.375
v,abstain,-0.375
a,abstemious,0.625
r,abstemiously,0.25
n,abstemiousness,-0.375
n,abstention,0.25
a,abstentious,-0.625
n,abstinence,0.25
a,abstinent,-0.625
v,abstract,-0.125
a,abstracted,0.375
r,abstractedly,0.5
n,abstractionism,-0.375
a,abstractive,0.375
n,abstractness,0.125
a,abstruse,0.5
r,abstrusely,-0.25
n,abstruseness,-0.5
n,abstrusity,0.375
a,absurd,0.625
n,absurdity,0.375
a,abulic,-0.75
a,abundant,-0.25
n,abuse,-0.75
a,abused,-0.625
n,abuser,-0.25
a,abusive,-0.875
r,abusively,0.5
v,aby,-0.125
v,abye,-0.125
a,abysmal,0.25
r,abysmally,-0.75
a,academic,-0.625
r,academically,0.125
n,academician,0.125
n,academicism,-0.125
n,academism,-0.125
n,academy,0.125
n,acanthocephalan,-0.25
n,acanthocyte,-0.125
n,acanthocytosis,-0.125
a,acanthoid,0.125
n,acanthopterygii,0.125
a,acanthous,0.125
n,acardia,-0.5
n,acarophobia,-0.125
a,acarpous,-0.375
n,acaryote,-0.375
n,acatalectic,-0.5
n,acataphasia,-0.5
n,acathexia,-0.375
n,acathexis,-0.375
a,acaudal,-0.25
a,acaudate,-0.25
a,acaulescent,0.25
v,accede,0.125
a,accelerative,-0.25
a,acceleratory,-0.25
n,accent,0.75
n,accenting,0.125
n,accentuation,0.125
v,accept,0.625
n,acceptability,0.5
a,acceptable,0.625
n,acceptableness,0.5
r,acceptably,0.5
n,acceptance,0.25
a,acceptant,0.25
n,acceptation,0.375
a,accepted,0.5
a,accepting,0.375
a,acceptive,0.375
a,accessary,0.375
n,accessibility,0.5
a,accessible,0.625
n,accession,0.125
a,accessional,0.125
a,accessorial,0.375
a,accessory,0.375
n,accident,-0.75
a,accident-prone,-0.125
a,accidental,-0.125
r,accidentally,0.25
n,acclaim,0.625
n,acclamation,0.625
v,acclimate,-0.375
v,acclimatise,-0.375
v,acclimatize,-0.375
n,accolade,0.5
v,accommodate,0.75
a,accommodating,0.5
n,accommodation,0.5
a,accommodative,0.625
v,accomplish,0.125
a,accomplishable,0.25
a,accomplished,0.75
n,accomplishment,0.25
n,accord,0.5
n,accordance,-0.375
a,accordant,0.5
a,according,0.125
r,accordingly,0.5
v,accost,0.125
n,account,0.875
n,accouterment,-0.375
n,accoutrement,-0.375
n,accretion,0.125
a,accretionary,-0.375
a,accretive,-0.25
n,acculturation,0.375
a,accumbent,-0.125
n,accumulation,-0.75
a,accumulative,0.375
n,accuracy,0.5
a,accurate,0.5
r,accurately,0.25
v,accurse,-0.25
a,accursed,-0.25
a,accurst,-0.25
n,accusation,-0.375
a,accusative,-0.5
a,accusatory,-0.5
v,accuse,0.125
n,accuser,0.25
a,accusing,-0.5
r,accusingly,0.375
a,accusive,-0.5
a,accustomed,0.375
a,ace,0.625
n,acedia,0.125
a,acellular,-0.5
a,acentric,-0.625
n,acephalia,-0.5
n,acephalism,-0.5
a,acephalous,0.25
n,acephaly,-0.5
a,acerb,-0.625
v,acerbate,-0.375
a,acerbic,-0.625
n,acerbity,0.5
n,acetaminophen,-0.5
v,acetify,-0.125
n,acetin,-0.125
n,acetonemia,-0.25
n,acetonuria,-0.5
a,acetose,-0.25
a,acetous,-0.25
n,acetum,-0.125
n,ache,-0.5
a,acheronian,-0.125
a,acherontic,-0.125
n,achievability,0.125
a,achievable,0.25
v,achieve,0.125
n,achiever,0.25
a,aching,-0.75
a,achlamydeous,-0.625
n,achlorhydria,-0.625
a,achlorhydric,-0.375
n,acholia,-0.375
n,achondrite,-0.375
a,achondritic,-0.625
n,achondroplasia,-0.5
a,achondroplastic,-0.125
n,achondroplasty,-0.5
n,achromasia,-0.625
a,achromatic,-0.375
a,achromatous,-0.375
n,achromia,-0.625
a,achy,-0.75
n,achylia,0.375
a,acid,-0.625
a,acid-fast,-0.375
a,acid-forming,-0.5
a,acid-loving,-0.25
a,acid-tasting,-0.5
n,acidemia,-0.625
a,acidic,-0.375
v,acidify,-0.125
n,acidity,-0.125
n,acidophilus,-0.125
a,acidotic,0.375
v,acidulate,-0.125
a,acidulent,-0.375
a,acidulous,-0.375
n,acidulousness,-0.125
v,acknowledge,0.375
a,acknowledgeable,0.625
a,acknowledged,0.25
n,acknowledgement,-0.375
n,acknowledgment,-0.375
n,acme,0.125
n,acne,-0.625
a,acned,-0.375
a,acneiform,-0.375
n,acnidosporidia,0.125
a,acold,-0.625
n,acolyte,-0.375
n,acorea,-0.5
a,acorn-shaped,0.125
r,acoustically,0.25
n,acoustics,0.125
v,acquaint,0.125
n,acquaintance,0.5
n,acquaintanceship,0.5
a,acquainted,0.625
n,acquiescence,0.5
a,acquiescent,0.25
a,acquirable,0.625
v,acquire,0.25
n,acquirement,0.25
n,acquisition,0.25
n,acquisitiveness,0.25
v,acquit,0.25
n,acquittal,0.625
a,acquitted,-0.5
a,acrid,-0.625
n,acridity,-0.75
n,acridness,-0.75
a,acrimonious,0.5
n,acrimony,0.5
a,acritical,-0.625
n,acroanaesthesia,-0.125
n,acroanesthesia,-0.125
n,acrobat,0.375
a,acrobatic,0.375
n,acrobatics,0.125
n,acrocyanosis,-0.125
n,acromegalia,-0.25
a,acromegalic,-0.375
n,acromegaly,-0.25
a,acronymic,0.375
a,acronymous,0.375
n,acrophobia,0.375
a,acrophobic,-0.75
a,across-the-board,0.375
n,acrylamide,-0.125
n,acrylic,-0.125
v,act,0.375
a,actable,0.625
a,acting,0.125
n,actinomyces,-0.125
n,actinomycosis,-0.5
a,actinomycotic,-0.125
n,actinomyxidia,0.25
n,actinomyxidian,0.25
n,actinopod,0.125
n,action,0.375
a,actionable,0.25
a,activated,-0.125
n,activating,0.375
n,activation,0.375
a,active,0.5
r,actively,0.5
n,activeness,0.125
n,activewear,-0.25
n,activity,0.125
a,actual,-0.5
n,actualisation,0.5
v,actualise,0.125
n,actualization,0.5
v,actualize,0.125
r,actually,0.375
n,acuity,0.25
a,aculeate,0.375
a,aculeated,0.375
n,acumen,0.5
a,acuminate,0.25
n,acupuncture,-0.25
a,acute,0.625
r,acutely,0.375
n,acuteness,0.25
a,acyclic,0.125
n,acyclovir,-0.5
n,acylglycerol,0.125
a,ad-lib,-0.625
n,ada-scid,-0.375
n,adactylia,-0.5
n,adactylism,-0.5
a,adactylous,-0.125
n,adactyly,-0.5
n,adagio,0.375
n,adamance,-0.375
a,adamant,-0.75
a,adamantine,-0.75
v,adapt,0.25
n,adaptability,0.25
a,adaptative,0.25
a,adaptive,0.25
r,adaxially,0.25
n,add,0.625
a,addable,0.5
a,addible,0.5
n,addiction,0.375
a,addictive,-0.625
a,additive,-0.375
v,addle,-0.375
n,addle-head,-0.25
a,addlebrained,0.25
a,addled,-0.75
n,addlehead,-0.25
a,addlepated,0.25
n,address,0.375
a,addressable,0.625
a,addressed,0.125
n,adenitis,-0.5
n,adenocarcinoma,-0.125
n,adenomyosarcoma,-0.25
n,adenomyosis,-0.25
n,adenopathy,0.125
a,adept,0.625
n,adeptness,0.5
n,adequacy,-0.375
a,adequate,-0.375
r,adequately,0.25
n,adequateness,-0.375
n,adermin,0.125
n,adhd,0.625
v,adhere,0.5
a,adhesive,-0.5
a,adiabatic,-0.625
n,aditi,-0.375
r,adjectivally,0.125
n,adjunct,-0.375
n,adjuration,0.25
v,adjust,0.125
a,adjustable,0.625
a,adjusted,-0.375
a,adjustive,0.625
n,adjustment,0.5
a,administrable,0.625
n,administration,0.375
a,administrative,0.25
n,administrator,-0.375
n,admirability,1
a,admirable,0.875
n,admirableness,1
r,admirably,0.5
n,admiration,0.75
v,admire,0.625
a,admired,0.5
r,admiringly,0.875
n,admissibility,0.375
a,admissible,-0.625
n,admission,0.5
a,admissive,0.375
v,admit,0.125
a,admittable,-0.375
a,admittible,-0.375
n,admixture,0.25
v,admonish,0.375
a,admonishing,-0.625
n,admonishment,0.25
n,admonition,0.25
a,admonitory,-0.625
n,adobe,0.125
a,adolescent,0.25
n,adonis,0.25
a,adoptable,0.75
a,adopted,0.5
a,adoptive,0.5
n,adorability,0.5
a,adorable,0.5
n,adorableness,0.5
r,adorably,0.25
n,adoration,0.875
v,adore,0.5
a,adored,0.375
a,adoring,0.5
r,adoringly,0.75
v,adorn,0.5
a,adorned,0.375
n,adornment,0.375
n,adrenalin,0.125
n,adrenaline,0.125
n,adrenergic,0.25
a,adrenocorticotrophic,0.375
a,adrenocorticotropic,0.375
a,adrift,0.375
a,adroit,0.25
r,adroitly,0.625
n,adroitness,0.5
a,adsorbable,0.25
n,adsorbate,0.375
v,adulate,0.625
n,adulation,-0.5
a,adulatory,0.25
a,adult,0.5
v,adulterate,-0.375
a,adulterated,-0.125
n,adulterer,-0.5
n,adulteress,-0.125
a,adulterine,-0.375
a,adulterous,-0.75
r,adulterously,0.125
v,adumbrate,0.125
n,adumbration,0.125
a,adust,-0.25
v,advance,0.5
a,advanced,0.5
n,advancement,0.125
n,advantage,0.625
a,advantageous,0.625
r,advantageously,0.625
n,advantageousness,0.625
n,advent,0.375
a,adventitious,-0.25
a,adventive,-0.75
v,adventure,0.5
a,adventuresome,0.625
n,adventurism,0.125
a,adventurous,0.625
n,adventurousness,0.25
a,adversative,-0.375
a,adverse,-0.625
r,adversely,0.25
n,adversity,-0.625
n,advertence,0.125
n,advertency,0.125
a,advertent,0.5
r,advertently,0.375
n,advil,-0.25
n,advisability,0.625
a,advisable,0.625
a,advised,0.5
r,advisedly,0.375
n,advisement,0.5
a,advisory,0.25
v,advocate,0.125
n,adynamia,-0.5
a,adynamic,-0.625
n,aegis,-0.375
n,aegyptopithecus,0.125
n,aengus,0.375
n,aeon,0.125
a,aeonian,0.25
n,aepyorniformes,-0.125
v,aerate,-0.125
a,aerated,-0.125
a,aerial,-0.375
n,aerie,0.5
a,aeriform,-0.375
n,aerobacter,0.25
n,aerobe,0.125
a,aerobic,0.5
a,aerodynamic,0.25
n,aery,0.5
n,aesop,-0.125
n,aesthesia,-0.375
n,aesthesis,-0.25
n,aesthete,0.375
a,aesthetic,0.875
a,aesthetical,0.625
n,aesthetician,0.5
n,aesthetics,0.25
a,aestival,0.125
a,aetiologic,0.125
a,aetiological,0.125
n,aetiologist,0.125
n,aetiology,0.375
r,afar,0.125
a,afeard,-0.125
a,afeared,-0.125
n,affability,0.25
a,affable,0.625
n,affableness,0.25
r,affably,0.25
n,affair,0.375
n,affaire,0.375
n,affairs,0.5
v,affect,-0.25
a,affected,-0.5
r,affectedly,-0.375
n,affectedness,-0.625
a,affecting,0.5
r,affectingly,0.375
n,affection,0.625
a,affectional,0.5
a,affectionate,0.625
r,affectionately,0.75
n,affectionateness,0.625
a,affective,0.5
n,affinity,0.5
v,affirm,0.125
a,affirmable,0.625
n,affirmation,0.375
a,affirmative,0.75
r,affirmatively,0.25
n,affirmativeness,0.75
a,affirmatory,0.5
n,affirmer,0.25
a,affixed,0.125
n,afflatus,0.5
v,afflict,-0.875
a,afflicted,0.5
n,affliction,-0.625
a,afflictive,-0.875
n,affluence,0.25
a,affluent,-0.25
n,affray,-0.5
n,affright,-0.75
n,affront,-0.25
n,afibrinogenemia,-0.5
a,aflame,0.375
n,aflaxen,-0.125
a,aflicker,0.25
a,afloat,0.375
a,aflutter,-0.375
a,afraid,-0.75
n,afro,0.125
n,afro-wig,-0.25
n,afterglow,0.5
n,aftertaste,0.125
n,afterthought,-0.625
n,agalactia,-0.5
n,agalactosis,-0.5
a,agamic,-0.625
